article	aid	url	imageUrl	iid	hashvalueImage	title	text	nReads	nRecs	nClicks	ctr
513005253	123530	https://www.ksta.de/panorama/kalenderblatt-2019--1--februar-31969686	https://www.ksta.de/image/31814018/2x1/300/150/55c5176ed1590d19a76445f8fd13f50e/ul/urn-newsml-dpa-com-20090101-160120-99-72399-large-4-3.jpg	124168	01370fbf8c818d03	Kalen­der­blatt 2019: 1. Februar	Das aktu­elle Kalen­der­blatt für den 1. Februar 2019:5. Kalen­der­wo­che32. Tag des Jahres­Noch 333 Tage bis zum Jahres­en­deStern­zei­chen: Wasser­mannNa­menstag: Brigitte, Severus, Sigi­ber­tHISTORISCHE DATEN2018 - Der Inter­na­tio­nale Sport­ge­richts	6	53	0	0.0
513009079	123531	https://www.ksta.de/region/leverkusen/der-schnee-war-eher-schoen-als-schlimm-31969872	https://www.ksta.de/image/31969866/2x1/300/150/90bb8f622dc1310e396f3fccbf641c08/ox/ungewohntes-schneetreiben-am-vormittag-liess-viele-vorsichtig-fahren--auf-dem-europaring-floss-der-verkehr-aber-gut-.jpg	124169	ff7f7e1604024904	Der Schnee war eher schön als schlimm	Eine kaputte Weiche hat den Bahn­ver­kehr einen ganzen Tag lang deut­lich in Mitlei­den­schaft gezogen. Nahe Küpper­steg war schon am Mitt­woch eine am S-Bahn-Gleis kaputt­ge­gangen – der Defekt machte Lever­kusen eine Zeit lang uner­reichbar, jeden­falls	761	35	0	0.0
513009080	123532	https://www.ksta.de/region/leverkusen/die-stadt-voellig-neu-entdeckt-31969858	https://www.ksta.de/image/31969854/2x1/300/150/7ac8ed1424fc404691b6a6132bd111c9/vD/paula-grether--links--erzaehlt-ihrer-freundin-mia-mettke--wie-sie-das-bild-bearbeitet-hat-.jpg	124170	feff7e7e1c181020	Die Stadt völlig neu entdeckt	Was nicht passt, das wird passend gemacht. Das dachten sich sieben Kinder der Jugend­kunst­gruppe, die am Foto-Work­shop „Gestalte dir die Stadt, wie du sie gerne hättest!“ teil­nahmen. An fünf Sams­tagen trafen sich Johannes Albach, Selim Boden­stein, Pa	233	17	0	0.0
513009097	123533	https://www.ksta.de/kultur/ein-himmel-voller-geigen-31969848	https://www.ksta.de/image/31969846/2x1/300/150/b14907a17e82a7b2771d2e050ea36437/kK/arabella-steinbacher.jpg	124171	004405c7c7e7b704	Ein Himmel voller Geigen	Sollte es ein Vorgriff auf das 2020 dräu­ende Jubi­lä­ums­jahr (100. Todestag) sein? Wohl kaum, das erste Violin­kon­zert des Kölners Max Bruch ist halt auch unab­hängig von zufäl­ligen biogra­fi­schen Feier­daten ein Renner im Konzert­saal. Der einzige d	22	12	0	0.0
513009627	123534	https://www.ksta.de/sport/fussball/watzke--finale-2013--von-meiner-festplatte-geloescht--31969894	https://www.ksta.de/image/31969892/2x1/300/150/6d40814e7f8d71e5b396363d5b6c1e4f/sJ/urn-newsml-dpa-com-20090101-190131-99-804828-large-4-3.jpg	124172	df9f9f8f0f03090d	Watzke: Finale 2013 „von meiner Fest­platte gelöscht”	BVB-Chef Hans-Joa­chim Watzke hat keine Erin­ne­rung mehr an die Umstände der Nieder­lage von Borussia Dort­mund im Cham­pi­ons­-Lea­gue-Finale 2013 gegen den FC Bayern.„Ich habe das Spiel komplett von meiner Fest­platte gelöscht. Es ist komplett weg”, sa	20	20	0	0.0
513012336	123535	https://www.ksta.de/sport/fussball/vorstandschef-rummenigge--beckenbauer--thront-ueber-allen--31969902	https://www.ksta.de/image/31969900/2x1/300/150/d4500952d03d3aaaa29104f8174de9a5/Hk/urn-newsml-dpa-com-20090101-190131-99-804836-large-4-3.jpg	124173	fefefe2c02123040	Vorstands­chef Rumme­nigge: Becken­bauer „thront über allen”	Vorstands­chef Karl-Heinz Rumme­nigge lässt auf die Bayern-I­kone Franz Becken­bauer nichts kommen.„Franz war mit Abstand der wich­tigste Spieler für Bayern München, das gilt auch bis heute noch. Wir hatten viele Spieler, aber Franz thront über allen”, sa	1214	102870	500	0.00486050354816759
513015272	123536	https://www.ksta.de/ratgeber/auto/von-fussballuebertragung-abgelenkt-und-bei-rot-mitgezogen-31970002	https://www.ksta.de/image/31970000/2x1/300/150/b859cc1c0ad27426795075d0b1b444b9/Tm/urn-newsml-dpa-com-20090101-190131-99-802244-large-4-3.jpg	124174	3727c54504dcc484	Von Fußball­über­tra­gung abge­lenkt und bei Rot mitge­zogen	Wer sich durchs Auto­radio so stark ablenken lässt, dass er eine rote Ampel über­fährt, muss für Folgen wie etwa ein Fahr­verbot gera­de­stehen.Es hilft auch nicht weiter, sich auf einen Mitzie­h­ef­fekt zu berufen, wie ein Urteil des Amts­ge­richts Dort­	2	28	0	0.0
513016249	123537	https://www.ksta.de/wirtschaft/eu-staaten-starten-freihandelsabkommen-mit-japan-31970034	https://www.ksta.de/image/31970032/2x1/300/150/1a7ca741d6e44a95ee400b467f7ecc0f/Eu/urn-newsml-dpa-com-20090101-190131-99-805562-large-4-3.jpg	124175	ffff3e80881cb090	EU-Staaten starten Frei­han­dels­ab­kommen mit Japan	Die EU und Japan bilden von diesem Freitag an die größte Frei­han­dels­zone der Welt. Mit dem Inkraft­treten des 2018 geschlos­senen Wirt­schafts­part­ner­schafts­ab­kom­mens werden Märkte mit insge­samt rund 635 Millionen Menschen verbunden.Ziel ist es, 	13	3	0	0.0
513016526	123538	https://www.ksta.de/koeln/lindenthal/toedlicher-unfall-in-koeln-suelz-kvb-warnte-stadt-vor-gefahr-durch-ampelschaltung-31969118	https://www.ksta.de/image/31890322/2x1/300/150/f7ef61b29e2a2aa263d66ae14d974e14/PE/bahnuebergang-in-suelz-unglueck.jpg	124176	fee8790364000e3f	KVB warnte Stadt vor Gefahr durch Ampel­schal­tung	Eine Schnee­decke liegt am Donnerstag über dem Stra­ßen­über­gang an der Luxem­burger Straße auf Höhe der Kreu­zung mit der Witte­kind­straße. Die grellen Warn­farben der städ­ti­schen Sperr­gitter in Orange und das rote Flat­ter­band mit der Aufschrift „	16958	65517	334	0.005097913518628753
513016659	123539	https://www.ksta.de/politik/gesundheitsminister-macht-hoffnung-spahn--krebs-ist-in-absehbarer-zeit-besiegbar-31970036	https://www.ksta.de/image/29887384/2x1/300/150/a1704d31269e532654781abaa54d167e/OD/jens-spahn-1.jpg	124177	446c6ccece0e0e00	Spahn: Krebs ist in abseh­barer Zeit besiegbar	Bundes­ge­sund­heits­mi­nister Jens Spahn hält Krebs­leiden in abseh­barer Zeit für besiegbar. „Es gibt gute Chancen, dass wir in 10 bis 20 Jahren den Krebs besiegt haben“, sagte der CDU-Po­li­tiker der „Rhei­ni­schen Post“ (Freitag).Der medi­zi­ni­sche F	1931	38	0	0.0
