article	aid	url	title	text
516606979	128794	https://www.ksta.de/sport/was-haben-die-ermittler-herausbekommen--32123460	Was haben die Ermittler heraus­be­kommen?	Zwei Tage nach dem Doping-Beben bei der Nordi­schen Ski-WM wartet der Sport auf neue Ergeb­nisse der Ermittler.Wich­tige Details zum mutmaß­li­chen Doping-Netz­werk könnten Aussagen des in Erfurt fest­ge­nom­menen Medi­ziner Mark S. liefern, der inzwi­sch
516607127	128795	https://www.ksta.de/panorama/versehentlicher-schuss-polizei-azubi-erschiesst-mutmasslich-mit-auszubildenden-32123474	Poli­zei-A­zubi erschießt mutmaß­lich Mit-Aus­zu­bil­denden	Ein Poli­zei-A­zubi hat in Würz­burg offenbar verse­hent­lich einen Mit-Aus­zu­bil­denden erschossen. Der junge Poli­zei­an­wärter wurde ange­schossen und erlag kurz danach im Kran­ken­haus seinen Verlet­zungen, wie Polizei und Staats­an­walt­schaft am fr
516607508	128796	https://www.ksta.de/region/rhein-sieg-bonn/rhein-sieg-kreis-polizisten-erhalten-verstaerkung---sechs-neue-verwaltungsstellen-32121820	Poli­zisten erhalten Verstär­kung – sechs neue Verwal­tungs­stellen	Die Kreis­po­li­zei­be­hörde bekommt Verstär­kung. Der Rhein-Sieg-Kreis erhält sechs neue Stellen für Regie­rungs­be­schäf­tigte, die im Laufe des Jahres einge­stellt werden können. Das hat der nord­rhein-west­fä­li­sche Innen­mi­nister Herbert Reul per E
516607511	128797	https://www.ksta.de/region/rhein-berg-oberberg/bergisch-gladbach/29-jaehriger-erstochen-hauptverdaechtiger-in-tuerkei-gefasst---und-wieder-freigelassen-32121570	Haupt­ver­däch­tiger in Türkei gefasst – und wieder frei­ge­lassen	Im Fall des vor über sechs Jahren am S-Bahnhof Bergisch Glad­bach ersto­chenen Manns gibt es eine über­ra­schende Entwick­lung: Wie türki­sche Medien berich­teten, hat die Polizei im zentral­tür­ki­schen Konya den Haupt­ver­däch­tigen fest­ge­nommen. Nach
516607517	128798	https://www.ksta.de/region/rhein-erft/elsdorf/elsdorf-rhein-erft-kreis-stoppt-kita-bonus-fuer-staedtische-mitarbeiter-32121200	Rhein-Erft-Kreis stoppt Kita-Bonus für städ­ti­sche Mitar­beiter	Die Beitrags­er­mä­ßi­gung bei den Gebühren für den Besuch der Kinder­ta­ges­stätten für Kinder städ­ti­sche Mitar­beiter ist recht­lich bedenk­lich. Das teilte der Rhein-Erft-Kreis als kommu­nale Aufsichts­be­hörde aufgrund einer Kommu­nal­auf­sichts­be­
516608761	128800	https://www.ksta.de/koeln/kapazitaetsgrenzen-erreicht-kvb-fahrgastzahlen-sind-grund-zur-freude-und-sorge-32109238	KVB-Fahr­gast­zahlen sind Grund zur Freude und Sorge	Die Chefs der Kölner Verkehrs­-Be­triebe (KVB) sind ange­sichts der aktu­ellen Fahr­gast­zahlen zwischen Freude und Sorge hin- und herge­rissen. Im Jahr 2018 waren so viele Menschen wie noch zuvor mit den Bahnen und Bussen des Unter­neh­mens unter­wegs – 
516610114	128801	https://www.ksta.de/politik/rnd/interview-mit-cdu-chefin--wir-wollen-eine-ruestungsindustrie-in-deutschland--32123504	„Wir wollen eine Rüstungs­in­dus­trie in Deutsch­land“	Fast 100 Tage ist Anne­gret Kramp-Kar­ren­bauer CDU-Chefin. Und eines hat sie nicht verän­dert: In der Partei­zen­trale sitzt sie weiter im fünften Stock, im bishe­rigen Gene­ral­se­kre­tär­s-Büro. Das Büro der Partei­vor­sit­zenden im sechsten Stock, sol
516611438	128802	https://www.ksta.de/region/oberberg-ks/moschee-und-beziehungen-so-verlief-das-treffen-mit-ditib-vertretern-in-bergneustadt-32121758	So verlief das Treffen mit Diti­b-Ver­tre­tern in Bergneu­stadt	Ergeb­nisse waren im Vorfeld nicht erwartet worden. Erst recht keine Lösungen für die Schwie­rig­keiten, die Bergneu­stadt mit der Inte­gra­tion seiner musli­mi­schen Bevöl­ke­rung und dem geplanten Bau einer Moschee hat.Wer nicht mehr erwartet hatte von 
516611688	128803	https://www.ksta.de/panorama/kinderpornografie-deutscher-magier-jan-rouven-in-usa-zu-20-jahren-haft-verurteilt-32123592	Deut­scher Magier Jan Rouven in USA zu 20 Jahren Haft verur­teilt	Auf der Bühne in Las Vegas trumpfte Jan Rouven einst als „Der Mann mit den sieben Leben“ auf. Doch keiner seiner spek­ta­ku­lären Tricks kann dem deut­schen Magier jetzt noch helfen. Der 41-jäh­rige Illu­sio­nist aus Kerpen ist in den USA wegen Besitzes u
516615441	128804	https://www.ksta.de/panorama/das--schaetzchen--hat-geburtstag-uschi-glas-wird-75---blick-auf-eine-bilderbuchkarriere-32123636	Uschi Glas wird 75 – Blick auf eine Bilder­buch­kar­riere	Wenn Uschi Glas heute mit ihrem Verein „brotZeit“ eine Schule besucht, dann geschieht Merk­wür­diges. Dann wollen die Schüler plötz­lich Selfies mit ihr machen. Früher, so sagt sie im Inter­view der Deut­schen Pres­se-A­gentur, sei sie bei solchen Besu­ch
516616809	128806	https://www.ksta.de/sport/mix/baseball-star-bryce-harper-unterschreibt-rekordvertrag-im-us-profisport-32123782	Base­ball-Star unter­schreibt für 330 Millionen Dollar	Base­ball-Star Bryce Harper wird laut US-Me­dien­be­richten den höchst­do­tierten Vertrag im nord­ame­ri­ka­ni­schen Profisport unter­schreiben. Wie das Inter­net­portal „mlb.com“ am Donnerstag (Orts­zeit) berich­tete, einigte sich der 26-Jäh­rige mit den
516618276	128807	https://www.ksta.de/koeln/koelner-suedstadt-kommt-tempo-20-auf-den-strassen-rund-um-den-chlodwigplatz--32109236	Kommt Tempo 20 auf den Straßen rund um den Chlod­wig­platz?	Im Rahmen eines Ideen­aus­tauschs bei der städ­ti­schen Veran­stal­tung mit dem Titel „Zukunfts­-Ra­d-Köln“ im Rathaus hat Rein­hold Goss, Miti­ni­tiator der Aktion Ring frei, einen Vorschlag zur Beru­hi­gung der Südstadt einge­bracht. Demzu­folge soll au
516618443	128808	https://www.ksta.de/region/rhein-erft/gastro-tipps-diese-restaurants-in-bruehl--huerth-und-frechen-trotzen-den-tollen-tagen-32121886	Diese Restau­rants in Brühl, Hürth und Frechen trotzen den tollen Tagen	Der Karneval lässt manches Herz höher­schlagen. Doch es gibt auch im Rhein­land Menschen, die mit dem närri­schen Treiben wenig anfangen können. Wir haben drei Adressen gefunden, wo man abseits des Karne­vals in Ruhe speisen kann.Restau­rant Matis, BrühlM
516619228	128809	https://www.ksta.de/politik/rnd/werbeverbot-fuer-abtreibungen-opposition-plant-klage-gegen-kompromiss-von-spd-und-cdu-32123818	Oppo­si­tion plant Klage gegen Kompro­miss von SPD und CDU	FDP, Linke und Grüne bereiten eine Klage beim Bundes­ver­fas­sungs­ge­richt gegen den Para­grafen 219a Straf­ge­setz­buch vor, der in der vorigen Woche vom Bundestag verab­schiedet wurde. Der Para­graph regelt, in welcher Form künftig über Abtrei­bungen i
516620503	128810	https://www.ksta.de/region/chaos-am-duesseldorfer-flughafen-teile-des-sicherheitsbereichs-muessen-geraeumt-werden-32123986	Flug­hafen Düssel­dorf nach Räumung wieder geöffnet	Weil Passa­giere eine Nottür geöffnet haben, hat der Düssel­dorfer Flug­hafen am Frei­tag­morgen Teile des Sicher­heits­be­reichs zeit­weise geräumt. Etwa 6500 Passa­giere, die schon die Kontrollen passiert hatten, mussten wieder zurück in den öffent­li­c
516621875	128811	https://www.ksta.de/sport/fussball/merkur-spielarena-drittligist-spielt-naechste-saison-in-duesseldorf---fortuna-boss-sauer-32124012	Dritt­li­gist spielt nächste Saison in Düssel­dorf – Fortu­n­a-Boss sauer	Fußball-Dritt­li­gist KFC Uerdingen hat für die kommende Saison eine neue Heim­spiel­stätte gefunden. Die Krefelder empfangen in der Spiel­zeit 2019/20 ihre Gäste in der Arena in Düssel­dorf. Das bestä­tigte Uerdin­gens Geschäfts­führer Frank Strüver der 
516622786	128813	https://www.ksta.de/sport/mix/duerr-zu-razzia--habe-meine-freunde-nicht-verpfiffen-32124130	Dürr zu Razzia: Habe meine Freunde nicht verpfiffen	Der über­führte Doping­sünder Johannes Dürr hat nach eigener Aussage die bei der Razzia bei der WM in Seefeld erwischten Ski-Lang­läufer nicht verraten.„Dass jetzt sozu­sagen der Eindruck entsteht, ich hätte da meine Freunde verpfiffen, ist einfach nicht 
516623379	128814	https://www.ksta.de/sport/mix/damen-abfahrt-in-russland-fuer-samstag-abgesagt-32124142	Damen-Ab­fahrt in Russ­land für Samstag abge­sagt	Die vorletzte Damen-Ab­fahrt der alpinen Welt­cup-Saison im russi­schen Kras­naja Poljana ist wegen schlechter Pisten­be­din­gungen abge­sagt worden.Das Rennen sollte eigent­lich am 2. März tatt­finden, statt­dessen wird der für den folgenden Tag geplante
516623576	128815	https://www.ksta.de/region/versehentlich-auf-gleise-geraten-maenner-retten-sich-vor-zusammenstoss-mit-zug-aus-auto-32124098	Männer retten sich vor Zusam­men­stoß mit Zug aus Auto	Zwei Männer haben sich an einem Bahn­über­gang in Nachrodt-Wib­ling­werde aus ihrem auf den Gleisen stehenden Auto gerettet, kurz bevor ein Zug darauf prallte.Fahrer verletzte sich leichtDer betrun­kene Fahrer trug trotzdem leichte Verlet­zungen davon, wo
516624759	128816	https://www.ksta.de/panorama/beim-kompost-mann-findet-mehr-als-zwei-meter-lange-tote-schlange-32124160	Mann findet mehr als zwei Meter lange tote Schlange	Schreck in den Abend­stunden: Auf einem Platz für Kompost hat ein Mann in Fried­land in Meck­len­bur­g-Vor­pom­mern eine mehr als zwei Meter lange, reglos dalie­gende Schlange entdeckt.Er meldete seinen Fund, woraufhin das Vete­ri­näramt das Tier am Donne
