aid	title_google	title_onlinedoc	title_deepl
118169	Mass brawl in Meschenich and fires in the New Year's Night 	Mass brawl in Meschenich and fires on New Year's Eve	Mass brawl in Meschenich and fires on New Year's Eve
118171	Man is heavily injured by Böller's hand 	Man is seriously injured in the hand by firecrackers	Man is seriously injured in the hand by firecracker
118172	Like the Cologne Daniel Opoku left his old life behind 	How Daniel Opoku from Cologne left his old life behind	How Daniel Opoku from Cologne left his old life behind him
118173	"""Who in duration in the profession is unhappy, risks a lot"" "	"""Those who are unhappy at work in the long run risk a lot"""	"""If you are unhappy in your job in the long run, you risk a lot""."
118174	Sydney's ceremonies master makes embarrassing mistake 	Sydney's master of ceremonies makes embarrassing mistakes	Sydney's master of ceremonies makes embarrassing mistake
118175	Kim Jong un threatens with departure from the approximation course 	Kim Jong Un threatens to abandon the convergence course	Kim Jong Un threatens to abandon rapprochement course
118176	Over 13,000 fans say goodbye Bassist Hartmut Priess 	More than 13,000 fans say goodbye to bassist Hartmut Priess	Over 13,000 fans bid farewell to bassist Hartmut Priess
118178	Man resting with car in crowd 	Man races with car in crowd	Man crashes car into crowd
118179	Two men in NRW in mortal danger - dead in Holland 	Two men in NRW in mortal danger - dead in Holland	Two men in NRW in danger of death - dead in Holland
118180	New Year's Eve celebration with drunk host escalated 	New Year's Eve celebration with a drunk host escalated	New Year's Eve party with drunken host escalates
118182	In Opladen grows the train city - highway remains permanent topic 	The Bahnstadt is growing in Opladen - the motorway remains a constant theme	The Bahnstadt is growing in Opladen - the freeway remains an ongoing issue
118183	Eight people sit in 50 meters in carousel 	Eight people are stuck in the carousel at a height of 50 meters	Eight people stuck in carousel at a height of 50 meters
118184	Man dies at the New Year morning at railroad crossing 	Man dies at a railroad crossing on New Year's morning	Man dies at level crossing on New Year's morning
118185	Sankt Augustiner is the youngest world champion in billard sports 	Sankt Augustiner is the youngest world champion in billiards	Sankt Augustiner is the youngest world champion in billiards
118186	Funding agency Leader wants to help shelter - Info meeting at the end of January 	Funding agency Leader wants to help Dürscheid - information meeting at the end of January	Leader promotion agency wants to help Dürscheid - information meeting at the end of January
118187	These events await guests in the National Park Eifel 	These events await guests in the Eifel National Park	These events await guests in the Eifel National Park
118188	Fire Department speaks of calm New Year's Eve - fire in garage 	The fire brigade speaks of a quiet New Year's Eve - a fire in the garage	Fire department speaks of quiet New Year's Eve - fire in garage
118189	City cleaners eliminate around 30,000 liters of waste 	City cleaners remove around 30,000 liters of garbage	City cleaners remove about 30,000 liters of garbage
118190	Balcony stood in flames - New Year's Rocket probably trigger 	Balcony was on fire - New Year's rocket was probably the trigger	Balcony was in flames - New Year's Eve rocket probably triggered
118191	Number of reported fires more than seclusion 	Number of reported fires more than sevenfold	Number of reported fires increased more than sevenfold
118192	Cologne photographer travels for pictures of the starry sky around the whole world 	Cologne photographer travels around the world to take pictures of the starry sky	Cologne photographer travels around the world for pictures of the starry sky
118193	Göring-Eckardt wants to settle new authorities only in the east 	Göring-Eckardt only wants to settle new authorities in the east	Göring-Eckardt wants to locate new authorities only in the east
